modo_transporte,tipo_combustible,valor
HIGHWAY ,Diesel_fuel_2014,5992.4
Light vehicles,Diesel_fuel_2014,422
Buses,Diesel_fuel_2014,174
Medium/heavy trucks,Diesel_fuel_2014,5396.3
NONHIGHWAY,Diesel_fuel_2014,840.4
Air,Diesel_fuel_2014,0
Water,Diesel_fuel_2014,277.6
Pipeline,Diesel_fuel_2014,0
Rail,Diesel_fuel_2014,562.7
HIGHWAY ,Liquified_petroleum_gas_2014,71.1
Light vehicles,Liquified_petroleum_gas_2014,50.4
Buses,Liquified_petroleum_gas_2014,0.6
Medium/heavy trucks,Liquified_petroleum_gas_2014,20.1
NONHIGHWAY,Liquified_petroleum_gas_2014,0
Air,Liquified_petroleum_gas_2014,0
Water,Liquified_petroleum_gas_2014,0
Pipeline,Liquified_petroleum_gas_2014,0
Rail,Liquified_petroleum_gas_2014,0
HIGHWAY ,Jet_fuel_2014,0
Light vehicles,Jet_fuel_2014,0
Buses,Jet_fuel_2014,0
Medium/heavy trucks,Jet_fuel_2014,0
NONHIGHWAY,Jet_fuel_2014,2038.6
Air,Jet_fuel_2014,2038.6
Water,Jet_fuel_2014,0
Pipeline,Jet_fuel_2014,0
Rail,Jet_fuel_2014,0
HIGHWAY ,Residual_fuel_oil_2014,0
Light vehicles,Residual_fuel_oil_2014,0
Buses,Residual_fuel_oil_2014,0
Medium/heavy trucks,Residual_fuel_oil_2014,0
NONHIGHWAY,Residual_fuel_oil_2014,447.3
Air,Residual_fuel_oil_2014,0
Water,Residual_fuel_oil_2014,447.3
Pipeline,Residual_fuel_oil_2014,0
Rail,Residual_fuel_oil_2014,0
HIGHWAY ,Natural_gas_2014,21.7
Light vehicles,Natural_gas_2014,0
Buses,Natural_gas_2014,21.7
Medium/heavy trucks,Natural_gas_2014,0
NONHIGHWAY,Natural_gas_2014,861.7
Air,Natural_gas_2014,0
Water,Natural_gas_2014,0
Pipeline,Natural_gas_2014,861.7
Rail,Natural_gas_2014,0
HIGHWAY ,Electricity_2014,3.7
Light vehicles,Electricity_2014,3
Buses,Electricity_2014,0.7
Medium/heavy trucks,Electricity_2014,0
NONHIGHWAY,Electricity_2014,325
Air,Electricity_2014,0
Water,Electricity_2014,0
Pipeline,Electricity_2014,251.3
Rail,Electricity_2014,73.7
HIGHWAY ,Total_2014,21742.3
Light vehicles,Total_2014,15514.4
Buses,Total_2014,206.1
Medium/heavy trucks,Total_2014,6021.6
NONHIGHWAY,Total_2014,4730.6
Air,Total_2014,2063.3
Water,Total_2014,918
Pipeline,Total_2014,1112.9
Rail,Total_2014,636.4
HIGHWAY ,Gasoline_2015,15343.4
Light vehicles,Gasoline_2015,14733.1
Buses,Gasoline_2015,8.9
Medium/heavy trucks,Gasoline_2015,601.3
NONHIGHWAY,Gasoline_2015,214.6
Air,Gasoline_2015,22
Water,Gasoline_2015,192.6
Pipeline,Gasoline_2015,0
Rail,Gasoline_2015,0
HIGHWAY ,Diesel_fuel_2015,5947.2
Light vehicles,Diesel_fuel_2015,414.1
Buses,Diesel_fuel_2015,170.9
Medium/heavy trucks,Diesel_fuel_2015,5362.3
NONHIGHWAY,Diesel_fuel_2015,927.3
Air,Diesel_fuel_2015,0
Water,Diesel_fuel_2015,388.4
Pipeline,Diesel_fuel_2015,0
Rail,Diesel_fuel_2015,538.8
HIGHWAY ,Liquified_petroleum_gas_2015,70.1
Light vehicles,Liquified_petroleum_gas_2015,49.5
Buses,Liquified_petroleum_gas_2015,0.7
Medium/heavy trucks,Liquified_petroleum_gas_2015,20
NONHIGHWAY,Liquified_petroleum_gas_2015,0
Air,Liquified_petroleum_gas_2015,0
